Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
1998-12-22 00:00:00-05:00,11.957998471743633,11.998072193163685,11.893880517471548,11.933954238891602,15200,0.0,0.0,0.0
1998-12-23 00:00:00-05:00,11.974032531286541,12.182415962219238,11.95800303659941,12.182415962219238,67800,0.0,0.0,0.0
1998-12-24 00:00:00-05:00,12.214473580557204,12.214473580557204,12.102267130342112,12.11829662322998,12300,0.0,0.0,0.0
1998-12-28 00:00:00-05:00,12.182414176616263,12.182414176616263,11.974030776226774,12.054178237915039,13500,0.0,0.0,0.0
1998-12-29 00:00:00-05:00,12.086240955526064,12.174403190612793,11.97403447450659,12.174403190612793,22000,0.0,0.0,0.0
1998-12-30 00:00:00-05:00,12.166381359100342,12.166381359100342,11.982042247598821,11.990056991577148,21800,0.0,0.0,0.0
1998-12-31 00:00:00-05:00,11.974034309387209,11.974034309387209,11.909916321117397,11.974034309387207,13000,0.0,0.0,0.0
1999-01-04 00:00:00-05:00,11.941974432933115,12.18241687118009,11.941974432933115,11.966018676757812,28600,0.0,0.0,0.0
1999-01-05 00:00:00-05:00,12.038147143482762,12.038147143482762,11.885866986541235,11.901896476745605,42700,0.0,0.0,0.0
1999-01-06 00:00:00-05:00,12.038146771228298,12.310648096276076,11.957999322684834,12.294618606567383,56400,0.0,0.0,0.0
1999-01-07 00:00:00-05:00,12.294619069976905,12.302633815133344,12.09425044106594,12.238515853881836,72600,0.0,0.0,0.0
1999-01-08 00:00:00-05:00,12.310648096276076,12.599178911032546,11.99005830210222,12.294618606567383,421100,0.0,0.0,0.0
1999-01-11 00:00:00-05:00,12.182419887808866,12.198449387661245,12.022124889285065,12.062198638916016,35000,0.0,0.0,0.0
1999-01-12 00:00:00-05:00,12.054174899411429,12.10226336310589,11.861821044633587,11.877850532531738,89200,0.0,0.0,0.0
1999-01-13 00:00:00-05:00,11.669467664744758,11.893880504451387,11.63740868764381,11.701526641845703,42400,0.0,0.0,0.0
1999-01-14 00:00:00-05:00,11.669469524362233,11.733587488781806,11.477115631103516,11.477115631103516,70000,0.0,0.0,0.0
1999-01-15 00:00:00-05:00,11.57329301689809,11.669469967177022,11.517189795902047,11.653440475463867,10700,0.0,0.0,0.0
1999-01-19 00:00:00-05:00,11.701528950603333,11.701528950603333,11.557263525184934,11.653440475463867,12800,0.0,0.0,0.0
1999-01-20 00:00:00-05:00,11.589323313656196,11.701529763442633,11.549249581589612,11.55726432800293,15800,0.0,0.0,0.0
1999-01-21 00:00:00-05:00,11.557263525184934,11.749617425742798,11.54123403347178,11.653440475463867,23900,0.0,0.0,0.0
1999-01-22 00:00:00-05:00,11.669469545820773,11.701528528089511,11.573292599014557,11.589322090148926,19300,0.0,0.0,0.0
1999-01-25 00:00:00-05:00,11.637412615429993,11.637412615429993,11.47711767582352,11.573294639587402,18200,0.0,0.0,0.0
1999-01-26 00:00:00-05:00,11.589326060901989,11.589326060901989,11.364913108132102,11.461090087890625,25700,0.0,0.0,0.0
1999-01-27 00:00:00-05:00,11.47711850571157,11.47711850571157,11.220646583796228,11.252705574035645,37100,0.0,0.0,0.0
1999-01-28 00:00:00-05:00,11.28476030847063,11.28476030847063,11.092406439576244,11.188583374023438,30800,0.0,0.0,0.0
1999-01-29 00:00:00-05:00,11.12446541772531,11.188583374023438,10.996229505129051,11.188583374023438,18600,0.0,0.0,0.0
1999-02-01 00:00:00-05:00,11.188589118151521,11.220648112759404,11.076382637023928,11.076382637023926,23100,0.0,0.0,0.0
1999-02-02 00:00:00-05:00,11.092411994934082,11.188588977549118,11.044323503626565,11.092411994934082,26500,0.0,0.0,0.0
1999-02-03 00:00:00-05:00,11.156528731523933,11.413000656386552,11.156528731523933,11.348882675170898,29400,0.0,0.0,0.0
1999-02-04 00:00:00-05:00,11.34887928373358,11.44505622681607,11.316820302706086,11.412997245788574,26000,0.0,0.0,0.0
1999-02-05 00:00:00-05:00,11.445057360852353,11.765647202893033,11.380939392444215,11.733588218688965,66000,0.0,0.0,0.0
1999-02-08 00:00:00-05:00,11.781677255090676,11.893883705139158,11.765647762226608,11.89388370513916,31100,0.0,0.0,0.0
1999-02-09 00:00:00-05:00,11.909912206314424,11.909912206314424,11.669469833374025,11.669469833374023,64300,0.0,0.0,0.0
1999-02-10 00:00:00-05:00,11.717556130396177,11.829762550249493,11.63740868764381,11.701526641845703,69300,0.0,0.0,0.0
1999-02-11 00:00:00-05:00,11.653445666666189,11.653445666666189,11.429032682713883,11.60535717010498,216800,0.0,0.0,0.0
1999-02-12 00:00:00-05:00,11.47711560958195,11.605351538180633,11.364909172058105,11.364909172058105,242300,0.0,0.0,0.0
