Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
1998-12-22 00:00:00-05:00,12.252561782029613,12.252561782029613,12.081684112548828,12.081684112548828,7900,0.0,0.0,0.0
1998-12-23 00:00:00-05:00,12.069028271429794,12.069028271429794,12.005740236445893,12.031055450439453,24100,0.0,0.0,0.0
1998-12-24 00:00:00-05:00,12.239904916976108,12.277877734712332,12.21458970515196,12.252562522888184,23800,0.0,0.0,0.0
1998-12-28 00:00:00-05:00,12.227249519847263,12.252564736244462,12.170290282953564,12.189276695251465,3100,0.0,0.0,0.0
1998-12-29 00:00:00-05:00,12.23990390006076,12.42343917053737,12.23990390006076,12.39179515838623,12000,0.0,0.0,0.0
1998-12-30 00:00:00-05:00,12.455080945754517,12.486724952222389,12.290532112121582,12.290532112121582,70400,0.0,0.0,0.0
1998-12-31 00:00:00-05:00,12.246235847473145,12.246235847473145,12.163961394751103,12.246235847473145,21600,0.0,0.0,0.0
1999-01-04 00:00:00-05:00,12.157632776669095,12.252564838954381,11.999412672860283,12.050043106079102,109300,0.0,0.0,0.0
1999-01-05 00:00:00-05:00,12.144968198133864,12.195598602294922,12.094337793972805,12.195598602294922,111200,0.0,0.0,0.0
1999-01-06 00:00:00-05:00,12.233577496587895,12.360153570013532,12.233577496587895,12.32218074798584,41000,0.0,0.0,0.0
1999-01-07 00:00:00-05:00,12.322178471457098,12.448754521497746,12.25256164393474,12.277876853942871,222300,0.0,0.0,0.0
1999-01-08 00:00:00-05:00,12.315851062948674,12.360152685477267,12.195603801799638,12.347495079040527,135900,0.0,0.0,0.0
1999-01-11 00:00:00-05:00,12.277879237877562,12.277879237877562,11.974096658796055,12.01839828491211,129000,0.0,0.0,0.0
1999-01-12 00:00:00-05:00,12.005736648158024,12.201929497969777,11.961435036910208,12.024723052978516,7100,0.0,0.0,0.0
1999-01-13 00:00:00-05:00,11.948785920449719,12.195609358425111,11.948785920449719,12.107006072998047,25900,0.0,0.0,0.0
1999-01-14 00:00:00-05:00,11.936121130927582,12.056368374558348,11.847517898778596,11.9044771194458,20000,0.0,0.0,0.0
1999-01-15 00:00:00-05:00,11.948780572477473,12.069027834594566,11.917136556130869,11.961438179016113,6900,0.0,0.0,0.0
1999-01-19 00:00:00-05:00,12.328509911544003,12.366482734680176,12.151303403575199,12.366482734680176,12200,0.0,0.0,0.0
1999-01-20 00:00:00-05:00,12.379140203070175,12.448757044702983,12.265221734943761,12.315852165222168,32700,0.0,0.0,0.0
