Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2015-10-08 00:00:00-04:00,21.770080272156736,21.915164947509766,21.770080272156736,21.915164947509766,2000,0.0,0.0,0.0
2015-10-09 00:00:00-04:00,21.907918301703358,21.907918301703358,21.806357477224566,21.8789005279541,4300,0.0,0.0,0.0
2015-10-12 00:00:00-04:00,22.067505245250718,22.067505245250718,21.958691393824004,22.016725540161133,2300,0.0,0.0,0.0
2015-10-13 00:00:00-04:00,21.8789005279541,21.8789005279541,21.8789005279541,21.8789005279541,500,0.0,0.0,0.0
2015-10-14 00:00:00-04:00,21.8789005279541,21.8789005279541,21.8789005279541,21.8789005279541,0,0.0,0.0,0.0
2015-10-15 00:00:00-04:00,21.784593689251206,21.813610076904297,21.784593689251206,21.813610076904297,2500,0.0,0.0,0.0
2015-10-16 00:00:00-04:00,22.195178730395565,22.241605489426526,22.195178730395565,22.228548049926758,400,0.0,0.0,0.0
2015-10-19 00:00:00-04:00,22.270630608546558,22.49551280474454,22.270630608546558,22.488258361816406,2000,0.0,0.0,0.0
2015-10-20 00:00:00-04:00,22.749416141922964,22.749416141922964,22.48100724840391,22.510025024414062,3200,0.0,0.0,0.0
2015-10-21 00:00:00-04:00,22.528156280517578,22.528156280517578,22.528156280517578,22.528156280517578,400,0.0,0.0,0.0
2015-10-22 00:00:00-04:00,22.618829551586813,22.82412483564336,22.616653080922873,22.813243865966797,2200,0.0,0.0,0.0
2015-10-23 00:00:00-04:00,22.526697664839002,22.539030075073242,22.444725117782212,22.539030075073242,3500,0.0,0.0,0.0
2015-10-26 00:00:00-04:00,22.5085666994252,22.575306733654372,22.5085666994252,22.568052291870117,600,0.0,0.0,0.0
2015-10-27 00:00:00-04:00,22.531784950476187,22.575311610584755,22.488259674011207,22.57386016845703,3400,0.0,0.0,0.0
2015-10-28 00:00:00-04:00,22.662358254462777,22.727646849720347,22.49188232421875,22.49188232421875,3200,0.0,0.0,0.0
2015-10-29 00:00:00-04:00,22.510020573467404,22.59416961669922,22.495511688331195,22.59416961669922,3900,0.0,0.0,0.0
2015-10-30 00:00:00-04:00,22.451984405517578,22.451984405517578,22.451984405517578,22.451984405517578,200,0.0,0.0,0.0
2015-11-02 00:00:00-05:00,22.451984405517578,22.451984405517578,22.451984405517578,22.451984405517578,100,0.0,0.0,0.0
2015-11-03 00:00:00-05:00,22.923513893950528,22.923513893950528,22.720393654926802,22.742156982421875,500,0.0,0.0,0.0
2015-11-04 00:00:00-05:00,22.865477229420478,22.865477229420478,22.64784812927246,22.64784812927246,1900,0.0,0.0,0.0
2015-11-05 00:00:00-05:00,22.691371997674516,22.691371997674516,22.45198098540976,22.560794830322266,23800,0.0,0.0,0.0
2015-11-06 00:00:00-05:00,22.03849334748104,22.03849334748104,21.726560592651367,21.726560592651367,9000,0.0,0.0,0.0
2015-11-09 00:00:00-05:00,21.80635586910724,21.838275141148802,21.47265979746096,21.55245590209961,45500,0.0,0.0,0.0
2015-11-10 00:00:00-05:00,21.842629653247492,21.842629653247492,21.65401827516359,21.784595489501953,27200,0.0,0.0,0.0
2015-11-11 00:00:00-05:00,21.838996646511774,21.951438417889616,21.755572642061093,21.860034942626953,27100,0.0,0.0,0.0
2015-11-12 00:00:00-05:00,21.661271987685176,21.820865586689443,21.661271987685176,21.726560592651367,63900,0.0,0.0,0.0
2015-11-13 00:00:00-05:00,21.632251099807675,21.668523310478584,21.440738255124025,21.443639755249023,47700,0.0,0.0,0.0
2015-11-16 00:00:00-05:00,21.421875,21.4871635869925,21.421875,21.421875,4200,0.0,0.0,0.0
2015-11-17 00:00:00-05:00,21.762831530616445,21.893408741183112,21.71205181176131,21.755577087402344,25700,0.0,0.0,0.0
2015-11-18 00:00:00-05:00,21.50167141293264,22.013097763061523,19.3689154841978,22.013097763061523,28600,0.0,0.0,0.0
2015-11-19 00:00:00-05:00,22.060256102304407,22.161815536875523,22.060256102304407,22.13279914855957,3500,0.0,0.0,0.0
2015-11-20 00:00:00-05:00,22.27788146021837,22.321408113473904,22.27788146021837,22.31415367126465,600,0.0,0.0,0.0
2015-11-23 00:00:00-05:00,22.466494294771078,22.49696212388193,22.43022346496582,22.43022346496582,2400,0.0,0.0,0.0
2015-11-24 00:00:00-05:00,22.50276118062837,22.50276118062837,22.08926773071289,22.08926773071289,2500,0.0,0.0,0.0
2015-11-25 00:00:00-05:00,22.08926773071289,22.08926773071289,22.08926773071289,22.08926773071289,0,0.0,0.0,0.0
2015-11-27 00:00:00-05:00,22.256120681762695,22.256120681762695,22.256120681762695,22.256120681762695,0,0.0,0.0,0.0
