Date,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLK,XLB,XLRE,XLU,SPY,VIX,Return,vol20,vol60,volRatio
2018-06-19,46.898738861083984,104.65345764160156,42.617919921875,54.8341178894043,23.94759178161621,75.67020416259766,65.11886596679688,66.73946380615234,50.93474578857422,25.07771873474121,40.49241256713867,247.35354614257812,13.35,,,,
2018-06-20,47.48074722290039,105.149658203125,42.659645080566406,55.07623672485352,23.886302947998047,75.83071899414062,65.16331481933594,66.87957763671875,50.769283294677734,25.348398208618164,40.52468490600586,247.77545166015625,12.79,0.0017056780634749913,,,
2018-06-21,47.18974685668945,104.40066528320312,42.74311065673828,54.056434631347656,23.816253662109375,75.3937759399414,64.34522247314453,66.36572265625,50.2293701171875,25.499662399291992,40.66183853149414,246.2221221923828,14.64,-0.006269101548865064,,,
2018-06-22,47.39625930786133,104.22277069091795,43.09367752075195,55.13492202758789,23.70242691040039,75.73265075683594,64.56753540039062,66.15083312988281,50.960880279541016,25.722572326660156,40.9442024230957,246.67111206054688,13.77,0.0018235155483439236,,,
2018-06-25,46.41998291015625,101.9570770263672,43.310691833496094,54.02708435058594,23.44850730895996,75.03707122802734,63.74942398071289,64.77735137939453,50.16841125488281,25.65888786315918,41.62191009521485,243.31317138671875,17.33,-0.013613027669830635,,,
2018-06-26,46.49696350097656,102.68733978271484,43.127052307128906,54.70940399169922,23.36970329284668,74.80523681640625,63.989505767822266,65.0389404296875,50.36001205444336,25.79422378540039,41.670310974121094,243.85191345214844,15.92,0.0022141919500666685,,,
2018-06-27,46.091434478759766,101.35787200927734,43.035247802734375,55.44306945800781,23.080751419067383,74.1721420288086,63.47376251220703,64.15137481689453,50.20325469970703,25.722572326660156,41.872013092041016,241.83189392089844,17.91,-0.008283796106633323,,,
2018-06-28,46.5514030456543,102.1536865234375,43.035247802734375,55.36970138549805,23.28213882446289,74.27022552490234,63.56270980834961,64.93616485595703,50.39482879638672,25.97733688354492,41.85587310791016,243.2144775390625,16.85,0.005717126867543332,,,
2018-06-29,46.495086669921875,102.3315658569336,43.01020812988281,55.71451568603515,23.28213882446289,74.42179870605469,63.69607162475586,64.90817260742188,50.568992614746094,26.041019439697266,41.92041015625,243.5645751953125,16.09,0.0014394605937624316,,,
2018-07-02,46.78609085083008,102.47199249267578,42.75980758666992,54.8928108215332,23.395965576171875,74.65365600585938,63.83837890625,65.48743438720703,50.299041748046875,25.88976287841797,42.21892166137695,244.0853271484375,15.6,0.0021380447165086913,,,
2018-07-03,46.21347427368164,101.9570770263672,42.85995864868164,55.23763275146485,23.185813903808594,74.83200073242188,63.633819580078125,64.71195220947266,50.21194839477539,26.041019439697266,42.33995056152344,243.2234649658203,16.14,-0.003530987268616337,,,
2018-07-05,46.917510986328125,102.46263885498048,43.45257186889648,55.178951263427734,23.238357543945312,75.60778045654297,63.945064544677734,65.6275863647461,50.647369384765625,26.38335227966309,42.56584548950195,245.2076873779297,14.97,0.008158022139797216,,,
2018-07-06,47.65909576416016,103.2677993774414,43.58612823486328,55.51643753051758,23.35218811035156,76.6956558227539,64.16736602783203,66.39373016357422,50.899906158447266,26.494813919067383,42.89662170410156,247.28163146972656,13.37,0.008457908126674685,,,
2018-07-09,47.93133163452149,104.50362396240234,43.419193267822266,56.345489501953125,23.886302947998047,77.25743865966797,65.35894775390625,66.89828491210938,51.352745056152344,26.24801445007324,41.57349395751953,249.50830078125,12.69,0.009004588405087555,,,
2018-07-10,47.911617279052734,104.72836303710938,43.93668365478515,56.763648986816406,23.798744201660156,77.55168914794922,65.5634765625,67.05711364746094,51.78816604614258,26.37539291381836,41.96882629394531,250.40614318847656,12.64,0.003598447043305919,,,
2018-07-11,47.84685134887695,104.48492431640624,43.79479217529297,55.56047058105469,23.684913635253903,76.9364013671875,64.48750305175781,66.79549407958984,50.917335510253906,26.2957820892334,42.3480110168457,248.57449340820312,13.63,-0.007314715833048768,,,
2018-07-12,48.59783554077149,105.17774963378906,43.736366271972656,55.65583038330078,23.728694915771484,77.79247283935547,65.24334716796875,67.851318359375,51.03924179077149,26.35947036743164,42.38028717041016,250.82814025878903,12.58,0.009066283590428714,,,
