Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
1998-12-22 00:00:00-05:00,14.108151278405819,14.46596670937988,14.108151278405819,14.448927879333496,150300,0.0,0.0,0.0
1998-12-23 00:00:00-05:00,14.61080013641902,15.701285511032218,14.55116421749486,14.798227310180664,44000,0.0,0.0,0.0
1998-12-24 00:00:00-05:00,14.798233776356522,14.798233776356522,14.72155898995053,14.772675514221191,45500,0.0,0.0,0.0
1998-12-28 00:00:00-05:00,14.798223784240934,14.806743199200197,14.619316070096398,14.687471389770508,25400,0.0,0.0,0.0
1998-12-29 00:00:00-05:00,14.695996729388545,15.028254046748634,14.167792788969942,15.011215209960938,123500,0.0,0.0,0.0
1998-12-30 00:00:00-05:00,15.011213131593609,15.0538102176651,14.891941290593433,14.917499542236328,10200,0.0,0.0,0.0
1998-12-31 00:00:00-05:00,14.883429862001547,14.951585236298063,14.764157956982645,14.806755065917969,66300,0.0,0.0,0.0
1999-01-04 00:00:00-05:00,14.92601500862989,15.04528681805958,14.57671899530008,14.687471389770508,50000,0.0,0.0,0.0
1999-01-05 00:00:00-05:00,14.772669059213166,14.874902063083153,14.730071974267338,14.798227310180664,27900,0.0,0.0,0.0
1999-01-06 00:00:00-05:00,14.90046090233448,14.98565507558968,14.806747311753758,14.97713565826416,118500,0.0,0.0,0.0
1999-01-07 00:00:00-05:00,14.866391018427418,14.866391018427418,14.69600258268613,14.806755065917969,43500,0.0,0.0,0.0
1999-01-08 00:00:00-05:00,14.806756816800103,14.81527623959458,14.517096441787904,14.74712085723877,63800,0.0,0.0,0.0
1999-01-11 00:00:00-05:00,14.713029745052445,14.713029745052445,14.355214314078385,14.448927879333496,65400,0.0,0.0,0.0
1999-01-12 00:00:00-05:00,14.440410676911977,14.491527174883347,14.312619431983553,14.338177680969238,29400,0.0,0.0,0.0
1999-01-13 00:00:00-05:00,13.929245913155986,14.440410900794738,13.929245913155986,14.363736152648926,73800,0.0,0.0,0.0
1999-01-14 00:00:00-05:00,14.304099443890019,14.355215939818155,13.895167476464932,14.091114044189453,30800,0.0,0.0,0.0
1999-01-15 00:00:00-05:00,14.210383401533065,14.295577546626188,14.082592183893379,14.244461059570312,39000,0.0,0.0,0.0
1999-01-19 00:00:00-05:00,14.355226881346844,14.355226881346844,13.98889171464185,14.082605361938477,39200,0.0,0.0,0.0
1999-01-20 00:00:00-05:00,14.167795464270652,14.278547924304037,14.057043004237268,14.125198364257812,480500,0.0,0.0,0.0
1999-01-21 00:00:00-05:00,14.065562890631542,14.142237673197068,13.827019122649904,13.912213325500488,42500,0.0,0.0,0.0
1999-01-22 00:00:00-05:00,13.827022053645207,13.997410495464617,13.750347254826472,13.844060897827148,75700,0.0,0.0,0.0
1999-01-25 00:00:00-05:00,13.844056161813423,13.895172676872427,13.690706616636414,13.809978485107422,179000,0.0,0.0,0.0
1999-01-26 00:00:00-05:00,13.818496205132723,14.133714675903322,13.792937950745918,14.13371467590332,85000,0.0,0.0,0.0
1999-01-27 00:00:00-05:00,14.270023786191922,14.406334461164503,14.227426700262992,14.32114028930664,50400,0.0,0.0,0.0
1999-01-28 00:00:00-05:00,14.338182226946868,14.610803635896541,14.321143388887513,14.576725959777832,57300,0.0,0.0,0.0
1999-01-29 00:00:00-05:00,14.619323977367525,14.71303759260706,14.414857907753992,14.610804557800293,167800,0.0,0.0,0.0
1999-02-01 00:00:00-05:00,14.713032590142458,14.764149090166114,14.542644256730268,14.551163673400879,57200,0.0,0.0,0.0
1999-02-02 00:00:00-05:00,14.6022862657022,14.670441627502441,14.465975542101711,14.670441627502441,81800,0.0,0.0,0.0
1999-02-03 00:00:00-05:00,14.602282033933626,14.670437375982324,14.474490767592316,14.6193208694458,65300,0.0,0.0,0.0
1999-02-04 00:00:00-05:00,14.559683090071488,14.67043550678941,14.483008340036003,14.551163673400879,34400,0.0,0.0,0.0
1999-02-05 00:00:00-05:00,14.551161399777806,14.551161399777806,14.312617770273253,14.329656600952148,33000,0.0,0.0,0.0
